"","id","word","n"
"697","131-7627","read",2
"698","131-7630","house",2
"699","131-7631","house",2
"700","131-7677","chatham",2
"701","131-7677","daily",2
"702","131-7677","news",2
"703","131-7677","thomson",2
"704","131-7680","cost",2
"705","131-7726","house",2
"706","131-7727","house",2
"707","131-7740","house",2
"708","131-7741","house",2
"709","131-7742","house",2
"710","131-795","media",2
"711","131-796","media",2
"712","131-797","media",2
"713","131-798","media",2
"714","131-799","media",2
"715","131-802","media",2
"716","131-803","media",2
"717","131-812","truth",2
"718","131-812","wisdom",2
"719","131-812","women",2
"720","131-824","politics",2
"721","131-826","clinton",2
"722","131-860","wendy",2
"723","131-860","williams",2
"724","131-867","idea",2
"725","131-887","wendy",2
"726","131-887","williams",2
"727","131-908","women",2
"728","131-985","wendy",2
"729","131-985","williams",2
"730","310-1","found",2
"731","310-1010","charmer",2
"732","310-1031","people",2
"733","310-104","women",2
"734","310-105","women",2
"735","310-1111","kobe",2
"736","310-1112","women",2
"737","310-1113","women",2
"738","310-1116","cyprus",2
"739","310-1118","people",2
"740","310-1129","para",2
"741","310-1132","love",2
"742","310-1133","love",2
"743","310-1167","women",2
"744","310-1168","women",2
"745","310-1190","content",2
"746","310-1192","claimed",2
"747","310-1192","person",2
"748","310-1192","rap",2
"749","310-1193","boa",2
"750","310-1194","assault",2
"751","310-1217","women",2
"752","310-1218","women",2
"753","310-1263","women",2
"754","310-1264","women",2
"755","310-1299","women",2
"756","310-1300","women",2
"757","310-1351","women",2
"758","310-1352","women",2
"759","310-1359","people",2
"760","310-1377","assault",2
"761","310-1412","cyprus",2
"762","310-1412","rise",2
"763","310-1413","cyprus",2
"764","310-1413","rise",2
"765","310-1414","cyprus",2
"766","310-1414","rise",2
"767","310-1415","cyprus",2
"768","310-1415","rise",2
"769","310-1463","monica",2
"770","310-1474","women",2
"771","310-1475","women",2
"772","310-1497","cyprus",2
"773","310-1509","film",2
"774","310-1510","1st",2
"775","310-1511","1st",2
"776","310-1515","movimento",2
"777","310-1558","women",2
"778","310-1559","women",2
"779","310-156","women",2
"780","310-1563","love",2
"781","310-157","women",2
"782","310-1613","women",2
"783","310-1614","women",2
"784","310-1770","women",2
"785","310-1771","women",2
"786","310-1846","women",2
"787","310-1847","women",2
"788","310-1860","exist",2
"789","310-1860","reason",2
"790","310-1870","ministes",2
"791","310-1870","sont",2
"792","310-1870","toutes",2
"793","310-1871","ministes",2
"794","310-1871","sont",2
"795","310-1871","toutes",2
"796","310-1872","ministes",2
"797","310-1872","sont",2
"798","310-1872","toutes",2
"799","310-1877","movimento",2
"800","310-1909","women",2
"801","310-1910","women",2
"802","310-1917","women",2
"803","310-1918","women",2
"804","310-198","han",2
"805","310-198","mujeres",2
"806","310-1993","15",2
"807","310-1994","15",2
"808","310-2004","women",2
"809","310-2005","women",2
"810","310-2032","women",2
"811","310-2033","women",2
"812","310-2044","women",2
"813","310-2045","women",2
"814","310-2079","chivalry",2
"815","310-2083","chivalry",2
"816","310-2084","chivalry",2
"817","310-2150","dems",2
"818","310-2160","monica",2
"819","310-2161","monica",2
"820","310-2161","time",2
"821","310-2162","monica",2
"822","310-2212","people",2
"823","310-2266","life",2
"824","310-230","women",2
"825","310-231","women",2
"826","310-2317","women",2
"827","310-2318","women",2
"828","310-2367","para",2
"829","310-2427","hollywood",2
"830","310-2476","women",2
"831","310-2477","women",2
"832","310-2478","women",2
"833","310-2479","women",2
"834","310-248","girls",2
"835","310-249","girls",2
"836","310-250","girls",2
"837","310-2502","church",2
"838","310-251","girls",2
"839","310-252","girls",2
"840","310-2553","speak",2
"841","310-2592","women",2
"842","310-2593","women",2
"843","310-2659","cyprus",2
"844","310-2660","cyprus",2
"845","310-2713","hands",2
"846","310-2808","asm",2
"847","310-2808","ca",2
"848","310-2808","democrat",2
"849","310-2820","women",2
"850","310-2821","women",2
"851","310-2901","movimento",2
"852","310-2949","love",2
"853","310-2950","love",2
"854","310-2952","love",2
"855","310-2954","women",2
"856","310-2955","clinton",2
"857","310-3006","ny",2
"858","310-3007","ny",2
"859","310-3014","women",2
"860","310-3015","women",2
"861","310-3053","footage",2
"862","310-3054","footage",2
"863","310-3096","cyprus",2
"864","310-3096","rise",2
"865","310-3097","cyprus",2
"866","310-3102","assault",2
"867","310-3103","assault",2
"868","310-3117","privilege",2
"869","310-313","para",2
"870","310-3137","women",2
"871","310-3138","women",2
"872","310-314","para",2
"873","310-3262","women",2
"874","310-3263","women",2
"875","310-3291","women",2
"876","310-3292","women",2
"877","310-3369","women",2
"878","310-3370","women",2
"879","310-3465","ghazi",2
"880","310-3466","ghazi",2
"881","310-3550","2020",2
"882","310-3554","2020",2
"883","310-3566","women",2
"884","310-3567","women",2
"885","310-3599","women",2
"886","310-3600","women",2
"887","310-3684","women",2
"888","310-3685","women",2
"889","310-3692","women",2
"890","310-3693","women",2
"891","310-3698","women",2
"892","310-3699","women",2
"893","310-3717","global",2
"894","310-3719","global",2
"895","310-3767","women",2
"896","310-3768","women",2
"897","310-3784","georgia",2
"898","310-3810","accused",2
"899","310-3810","dunwoody",2
"900","310-3810","georgia",2
"901","310-3810","lobbyist",2
"902","310-3810","shafer",2
"903","310-3811","georgia",2
"904","310-3812","georgia",2
"905","310-3883","women",2
"906","310-3884","women",2
"907","310-3885","women",2
"908","310-3886","women",2
"909","310-3890","blir",2
"910","310-3890","och",2
"911","310-390","women",2
"912","310-391","women",2
"913","310-3928","people",2
"914","310-3931","kiselyov",2
"915","310-3932","kiselyov",2
"916","310-3952","los",2
"917","310-3952","mujeres",2
"918","310-3987","movement",2
"919","310-3988","movement",2
"920","310-3989","movement",2
"921","310-4010","women",2
"922","310-4011","women",2
"923","310-4023","women",2
"924","310-4024","women",2
"925","310-4025","cute",2
"926","310-403","los",2
"927","310-403","mujeres",2
"928","310-4035","att",2
"929","310-4035","fr",2
"930","310-4035","och",2
"931","310-4037","doc",2
"932","310-4038","doc",2
"933","310-4039","doc",2
"934","310-4040","doc",2
"935","310-4041","doc",2
"936","310-4166","jjchc",2
"937","310-421","debuted",2
"938","310-4214","don",2
"939","310-4215","don",2
"940","310-4285","footage",2
"941","310-4288","footage",2
"942","310-4301","women",2
"943","310-4302","women",2
"944","310-439","found",2
"945","310-4391","touch",2
"946","310-440","found",2
"947","310-4405","ptsd",2
"948","310-4449","women",2
"949","310-4450","women",2
"950","310-458","democrats",2
"951","310-458","reality",2
"952","310-458","trump",2
"953","310-464","para",2
"954","310-4683","women",2
"955","310-4684","women",2
"956","310-4749","oprah",2
"957","310-4749","trump",2
"958","310-4762","skin",2
"959","310-4796","women",2
"960","310-4797","women",2
"961","310-4919","women",2
"962","310-4920","women",2
"963","310-4924","039",2
"964","310-4928","medicine",2
"965","310-4929","medicine",2
"966","310-4983","women",2
"967","310-4984","women",2
"968","310-4988","clinton",2
"969","310-4988","dealt",2
"970","310-4989","clinton",2
"971","310-5025","march",2
"972","310-5026","march",2
"973","310-5028","women",2
"974","310-5029","women",2
"975","310-5130","women",2
"976","310-5131","women",2
"977","310-5192","people",2
"978","310-5280","women",2
"979","310-5281","women",2
"980","310-5344","women",2
"981","310-5345","women",2
"982","310-5373","movimento",2
"983","310-551","women",2
"984","310-5515","para",2
"985","310-5516","poem",2
"986","310-552","women",2
"987","310-5544","sustain",2
"988","310-5696","comprehensive",2
"989","310-5696","list",2
"990","310-5706","women",2
"991","310-5707","women",2
"992","310-5709","ring",2
"993","310-5783","single",2
"994","310-5813","skin",2
"995","310-5814","skin",2
"996","310-5821","women",2
"997","310-5822","women",2
"998","310-5849","clinton",2
"999","310-5849","harassment",2
"1000","310-5902","blocked",2
"1001","310-5929","people",2
"1002","310-5947","women",2
"1003","310-5948","women",2
"1004","310-6009","3_",2
"1005","310-6010","3_",2
"1006","310-6031","women",2
"1007","310-6046","oakland",2
"1008","310-6052","pennsylvania",2
"1009","310-6053","pennsylvania",2
"1010","310-6054","pennsylvania",2
"1011","310-6055","pennsylvania",2
"1012","310-6056","pennsylvania",2
"1013","310-6057","pennsylvania",2
"1014","310-6058","pennsylvania",2
"1015","310-6059","pennsylvania",2
"1016","310-6060","pennsylvania",2
"1017","310-6061","pennsylvania",2
"1018","310-6062","pennsylvania",2
"1019","310-6063","pennsylvania",2
"1020","310-6064","pennsylvania",2
"1021","310-6065","pennsylvania",2
"1022","310-6066","pennsylvania",2
"1023","310-6067","pennsylvania",2
"1024","310-6068","pennsylvania",2
"1025","310-6069","son",2
"1026","310-6069","support",2
"1027","310-6070","son",2
"1028","310-6070","support",2
"1029","310-6101","women",2
"1030","310-6102","women",2
"1031","310-6134","women",2
"1032","310-6135","women",2
"1033","310-6181","movimento",2
"1034","310-6204","movimento",2
"1035","310-63","speak",2
"1036","310-6404","clinton",2
"1037","310-6405","clinton",2
"1038","310-65","told",2
"1039","310-6515","hollywood",2
"1040","310-6519","women",2
"1041","310-6520","women",2
"1042","310-6568","movement",2
"1043","310-6572","women",2
"1044","310-6573","women",2
"1045","310-6653","screwed",2
"1046","310-6721","women",2
"1047","310-6722","women",2
"1048","310-6728","women",2
"1049","310-6729","women",2
"1050","310-6870","women",2
"1051","310-6871","women",2
"1052","310-69","los",2
"1053","310-69","mujeres",2
"1054","310-6900","hijab",2
"1055","310-6902","women",2
"1056","310-6939","women",2
"1057","310-6940","women",2
"1058","310-6941","para",2
