"","topic","term","beta"
"658",4,"vi",5.83315684214942e-312
"659",5,"vi",5.35966408394377e-308
"660",6,"vi",1.7650953043614e-311
"661",1,"freedom",7.97309522956947e-295
"662",2,"freedom",0.000948202581027892
"663",3,"freedom",1.41275953487427e-281
"664",4,"freedom",2.82616906003356e-297
"665",5,"freedom",9.32325558610299e-42
"666",6,"freedom",2.30344571337521e-297
"667",1,"power",3.26800658742763e-52
"668",2,"power",0.002853672563766
"669",3,"power",4.20336731304595e-73
"670",4,"power",3.59741160159495e-272
"671",5,"power",0.000671848102849144
"672",6,"power",5.81829896919503e-193
"673",1,"sex",0.00136229888481637
"674",2,"sex",8.5015598152302e-05
"675",3,"sex",0.00262745205622863
"676",4,"sex",0.00168574676132927
"677",5,"sex",0.00342766952507408
"678",6,"sex",7.38611881968037e-40
"679",1,"starts",5.33317865949865e-293
"680",2,"starts",0.000948202581027892
"681",3,"starts",3.94058193551306e-282
"682",4,"starts",5.08787950659965e-299
"683",5,"starts",1.01072791927285e-41
"684",6,"starts",2.24211797782293e-296
"685",1,"violence",1.15703136734476e-288
"686",2,"violence",0.00126427010803719
"687",3,"violence",0.000339212177006449
"688",4,"violence",1.04564968040856e-288
"689",5,"violence",4.36248554297632e-44
"690",6,"violence",9.97333386697915e-54
"691",1,"adult",6.69120650005967e-294
"692",2,"adult",1.24565439870835e-297
"693",3,"adult",0.00203527306203869
"694",4,"adult",1.93190728055612e-296
"695",5,"adult",5.91401446480747e-295
"696",6,"adult",3.76459075151956e-19
"697",1,"anthem",2.14297581341607e-76
"698",2,"anthem",1.49921847254194e-15
"699",3,"anthem",1.43843916425423e-285
"700",4,"anthem",0.0565907262298403
"701",5,"anthem",9.14428134409264e-285
"702",6,"anthem",1.08815285573203e-287
"703",1,"mulheres",1.41302774710597e-321
"704",2,"mulheres",5.25924037385197e-28
"705",3,"mulheres",0.00135684870802579
"706",4,"mulheres",7.04043545323776e-321
"707",5,"mulheres",2.41104035170528e-321
"708",6,"mulheres",9.88131291682493e-324
"709",1,"nra",1.20817808802546e-286
"710",2,"nra",1.22657261682465e-273
"711",3,"nra",0.000589777450905034
