id,tokens,tweet
89,"['I', 'asked', 'comment', 'leadership', 'deaths', '#AltonSterling', '#EricGarner', '#StephonClark']",I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark
90,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
91,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
92,"['#StephonClark', 'cell', 'phone', '#TamirRice', 'toy', 'gun', '#WalterScott', 'running', 'away', '#SandraBland', 'broken', 'tail', 'light']",#StephonClark had a cell phone. #TamirRice had a toy gun #WalterScott was running away #SandraBland had a broken tail light #
93,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
94,"['I', 'asked', 'comment', 'leadership', 'deaths', '#AltonSterling', '#EricGarner', '#StephonClark']",I asked for comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark
95,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
96,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
97,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
98,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
99,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
100,"['Know', 'may', 'seem', 'like', 'lot', 'track', '#AltonSterling', ';', '#census2020', 'attack', ';', '#PutPatientsFirst', ';', '#MeToo', '#Dreamers', 'If', 'march']",Know it may seem like a lot to track-#AltonSterling; #census2020 attack; #PutPatientsFirst; #MeToo #Dreamers. If you march
101,"['Well', '#altonsterling', 'get', 'NO', 'JUSTICE', 'Now', 'everyone', 'wants', 'seek', 'healing', 'LET', 'A', 'JURY', 'DECIDE']",Well there it is #altonsterling will get NO JUSTICE!! Now everyone wants to seek healing LET A JURY DECIDE!!! 
102,"['cops', 'killed', '#AltonSterling', 'got', 'let', 'charges']",the cops who killed #AltonSterling just got let off with no charges.
103,"['Im', 'resident', 'Baton', 'Rouge', 'My', 'kids', 'live', 'neighborhood', 'They', 'paints', 'criminal', '#AltonSterling']",Im a resident of Baton Rouge. My kids live in his neighborhood. They paints him as a criminal. #AltonSterling
104,"['La', 'AG', 'Jeff', 'Landry', 'state', 'prosecution', 'BR', 'Police', 'officers', 'shooting', 'death', '#AltonSterling']",La AG Jeff Landry: no state prosecution of BR Police officers in shooting death of #AltonSterling
105,"['Attorney', 'General', 'Louisiana', 'states', 'police', 'officers', 'actions', 'well', 'founded', 'reasonable', 'No', 'charges', 'pr']",Attorney General of Louisiana states the police officers actions were well founded and reasonable. No charges will be pr
106,"['Another', 'black', 'man', 'senselessly', 'murdered', 'If', 'want', 'establish', 'police', 'accountability', 'must', 'start', 'holding', 'polic']","Another black man senselessly murdered. If we want to establish police accountability, we must start holding polic "
107,"['Its', 'nothing', 'new', 'They', 'never', 'charge', 'cops', '#AltonSterling']",Its nothing new! They never charge the cops #AltonSterling
108,"['BREAKING', 'No', 'charges', '#AltonSterling', 'death', 'hands', 'police', 'officers', 'whose', 'actions', 'described', 'prose']",BREAKING: No charges in #AltonSterling death at the hands of police officers whose actions have been described by prose
109,"['BREAKING', 'No', 'charges', '#AltonSterling', 'death', 'hands', 'police', 'officers', 'whose', 'actions', 'described', 'prose']",BREAKING: No charges in #AltonSterling death at the hands of police officers whose actions have been described by prose
